,time,x,y,z,roll,pitch,yaw
0,163645070.10386598,-25869.689159999998,-93280.4161,1.61705,0,0.00122,1.75112
1,163645070.40386498,-25869.88549,-93279.36783999999,1.6163299999999998,0,0.00027,1.76046
2,163645070.702865,-25870.10987,-93278.23332,1.61648,0,-0.00047999999999999996,1.77152
3,163645071.003865,-25870.36609,-93277.01345,1.61733,0,-0.00062,1.78347
4,163645071.302865,-25870.6555,-93275.70867,1.61733,0,0.0007599999999999999,1.79408
5,163645071.602864,-25870.97934,-93274.31942999999,1.6144,0,0.0032600000000000003,1.80532
6,163645071.803864,-25871.21613,-93273.34685,1.6107,0,0.0037799999999999995,1.81348
7,163645072.003864,-25871.47073,-93272.33747,1.6074,0,0.00238,1.82187
8,163645072.20386398,-25871.744169999998,-93271.29162999999,1.6060299999999998,0,0.00031,1.83075
9,163645072.403864,-25872.03746,-93270.20969,1.6064399999999999,0,-0.0007099999999999999,1.83975
10,163645072.603863,-25872.3513,-93269.09192,1.60705,0,-0.00027,1.84887
11,163645072.80486298,-25872.68681,-93267.93875,1.60737,0,-0.00049,1.85848
12,163645073.004863,-25873.04496,-93266.75056,1.60832,0,-0.00067,1.8680700000000001
13,163645073.20486298,-25873.42599,-93265.52755,1.60762,0,0.0019100000000000002,1.8768599999999998
14,163645073.40386298,-25873.82914,-93264.26958,1.6034899999999999,0,0.00371,1.8844900000000002
15,163645073.60386202,-25874.254119999998,-93262.97664,1.59915,0,0.00253,1.8918
16,163645073.803862,-25874.70135,-93261.64895,1.59579,0,0.00275,1.89926
17,163645074.004862,-25875.17153,-93260.28682000001,1.59091,0,0.00374,1.90661
18,163645074.203862,-25875.664719999997,-93258.89036,1.5853899999999999,0,0.00364,1.9134900000000001
19,163645074.403862,-25876.18068,-93257.45955,1.58028,0,0.00296,1.9199400000000002
20,163645074.603861,-25876.71994,-93255.99467,1.57659,0,0.00195,1.92682
21,163645074.80386102,-25877.28362,-93254.49618999999,1.5735,0,0.00207,1.9340099999999998
22,163645075.003861,-25877.87257,-93252.96452000001,1.5697299999999998,0,0.00248,1.9413599999999998
23,163645075.203861,-25878.48665,-93251.39971,1.5653299999999999,0,0.0027600000000000003,1.9474200000000002
24,163645075.404861,-25879.12391,-93249.80105,1.56026,0,0.00302,1.95281
25,163645075.60386002,-25879.78635,-93248.1694,1.55542,0,0.00236,1.95985
26,163645075.80286002,-25880.47591,-93246.50564,1.55267,0,0.00067,1.9671599999999998
27,163645076.00386,-25881.192919999998,-93244.81002,1.55261,0,-0.00018999999999999998,1.97406
28,163645076.20386,-25881.9364,-93243.0822,1.5520100000000001,0,0.0010400000000000001,1.9796
29,163645076.40386,-25882.70345,-93241.32097999999,1.5483200000000001,0,0.0025399999999999997,1.98305
30,163645076.60386002,-25883.49178,-93239.52542,1.54185,0,0.00415,1.98574
31,163645076.803859,-25884.30025,-93237.69502,1.5333700000000001,0,0.0035399999999999997,1.98732
32,163645076.904859,-25884.71113,-93236.76635,1.53063,0,0.002,1.9872599999999998
33,163645077.003859,-25885.125630000002,-93235.82835,1.5292700000000001,0,0.0009199999999999999,1.9865099999999998
34,163645077.103859,-25885.54327,-93234.88081,1.52845,0,0.00082,1.9854599999999998
35,163645077.20485902,-25885.963969999997,-93233.92369,1.52736,0,0.00121,1.9845099999999998
