time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.pose.position.x,.pose.pose.position.y,.pose.pose.position.z,.pose.pose.orientation.x,.pose.pose.orientation.y,.pose.pose.orientation.z,.pose.pose.orientation.w,.pose.covariance
1975/03/10/09:57:50.194502,280,163645070,194502148,map,-25869.7470226,-93280.0093254,1.54699683189,-0.00071176604031,0.000978287676539,0.769370826068,0.638801274527,"(0.0004462013572866441, -4.645443786963452e-05, 0.0, 0.0, 0.0, -4.527475442824482e-05, -4.645443786963453e-05, 0.0006926878825409695, 0.0, 0.0, 0.0, -8.063902661839044e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.5274754428244886e-05, -8.063902661839046e-06, 0.0, 0.0, 0.0, 4.5901390648578406e-05)"
1975/03/10/09:57:50.210589,281,163645070,210589380,map,-25869.7597146,-93279.9414688,1.54699683189,-0.000712073260633,0.000978064080568,0.769571419454,0.638559603093,"(0.00044726311794250216, -4.7377750547226824e-05, 0.0, 0.0, 0.0, -4.563972941481673e-05, -4.737775054722683e-05, 0.000697731142043724, 0.0, 0.0, 0.0, -8.15287839582994e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.563972941481679e-05, -8.152878395829942e-06, 0.0, 0.0, 0.0, 4.5938030659337183e-05)"
1975/03/10/09:57:50.234718,282,163645070,234718016,map,-25869.7721348,-93279.873565,1.54574906826,-0.000526143353113,0.000791262031409,0.769751119371,0.638343411735,"(0.00044609116154458757, -4.654650987813722e-05, 0.0, 0.0, 0.0, -4.5602912809913446e-05, -4.6546509878137214e-05, 0.0006912269206939657, 0.0, 0.0, 0.0, -8.168053837100089e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.560291280991351e-05, -8.168053837100092e-06, 0.0, 0.0, 0.0, 4.58391243467255e-05)"
1975/03/10/09:57:50.250804,283,163645070,250804430,map,-25869.7846789,-93279.8053041,1.54574906826,-0.000526367808548,0.000791112735644,0.769932182846,0.638125011965,"(0.0004454851368746305, -4.618328599508234e-05, 0.0, 0.0, 0.0, -4.567872896299532e-05, -4.618328599508234e-05, 0.0006877348116053598, 0.0, 0.0, 0.0, -8.203905769451283e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.567872896299538e-05, -8.203905769451287e-06, 0.0, 0.0, 0.0, 4.5777980960256566e-05)"
1975/03/10/09:57:50.274933,284,163645070,274932761,map,-25869.7980056,-93279.7332121,1.54574906826,-0.000526596411562,0.000790960586694,0.770116563511,0.637902481327,"(0.00044599563255814375, -4.671526740036544e-05, 0.0, 0.0, 0.0, -4.596202480252477e-05, -4.6715267400365436e-05, 0.0006899955319769224, 0.0, 0.0, 0.0, -8.27754040224681e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.596202480252483e-05, -8.277540402246817e-06, 0.0, 0.0, 0.0, 4.5784451145100336e-05)"
1975/03/10/09:57:50.291016,285,163645070,291015709,map,-25869.8108062,-93279.6641836,1.54574906826,-0.000526822283374,0.000790810161869,0.770298712975,0.637682514945,"(0.00044653354864567635, -4.726249593022535e-05, 0.0, 0.0, 0.0, -4.6251928026510925e-05, -4.7262495930225335e-05, 0.0006923607633954352, 0.0, 0.0, 0.0, -8.353018736563781e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.625192802651098e-05, -8.35301873656379e-06, 0.0, 0.0, 0.0, 4.578975952756808e-05)"
1975/03/10/09:57:50.315217,286,163645070,315217050,map,-25869.8243359,-93279.5916086,1.54574906826,-0.000527055855371,0.000790654510955,0.770487042446,0.637454950958,"(0.00044810386537553186, -4.8561937399693524e-05, 0.0, 0.0, 0.0, -4.6730048594251474e-05, -4.856193739969351e-05, 0.0006996295556178798, 0.0, 0.0, 0.0, -8.463081898805273e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.6730048594251515e-05, -8.463081898805283e-06, 0.0, 0.0, 0.0, 4.585483230588302e-05)"
1975/03/10/09:57:50.331304,287,163645070,331303625,map,-25869.8375564,-93279.5215162,1.54418706894,-0.000394367635217,0.000646371049647,0.770680782612,0.637220964809,"(0.000446833538879459, -4.7669778886624855e-05, 0.0, 0.0, 0.0, -4.669402894029976e-05, -4.766977888662485e-05, 0.000692979575023167, 0.0, 0.0, 0.0, -8.48353448485156e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.669402894029982e-05, -8.48353448485157e-06, 0.0, 0.0, 0.0, 4.575001353026996e-05)"
1975/03/10/09:57:50.347355,288,163645070,347354690,map,-25869.8509171,-93279.4509635,1.54418706894,-0.000394561119331,0.000646252960257,0.770871510635,0.63699022031,"(0.00044619167556986125, -4.724966245648694e-05, 0.0, 0.0, 0.0, -4.678147066851685e-05, -4.7249662456486925e-05, 0.0006893587021398569, 0.0, 0.0, 0.0, -8.526444064396448e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.6781470668516915e-05, -8.526444064396456e-06, 0.0, 0.0, 0.0, 4.5683869965187274e-05)"
1975/03/10/09:57:50.371456,289,163645070,371455696,map,-25869.8643779,-93279.3801538,1.54418706894,-0.000394762964838,0.000646129682897,0.771070444457,0.6367493984,"(0.00044615447429340575, -4.73312151750806e-05, 0.0, 0.0, 0.0, -4.698375324227387e-05, -4.733121517508059e-05, 0.0006888813304075584, 0.0, 0.0, 0.0, -8.59030181124634e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.698375324227394e-05, -8.590301811246348e-06, 0.0, 0.0, 0.0, 4.565391672579201e-05)"
1975/03/10/09:57:50.387540,290,163645070,387539898,map,-25869.8779933,-93279.3088124,1.54418706894,-0.000394958575508,0.00064601013085,0.771263197809,0.636515912122,"(0.00044665272964935636, -4.787979756349207e-05, 0.0, 0.0, 0.0, -4.728720488148927e-05, -4.787979756349206e-05, 0.0006912900414394368, 0.0, 0.0, 0.0, -8.672796316938541e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.728720488148935e-05, -8.672796316938551e-06, 0.0, 0.0, 0.0, 4.565708796181413e-05)"
1975/03/10/09:57:50.411669,291,163645070,411669234,map,-25869.8917519,-93279.2369931,1.54418706894,-0.000395155732497,0.000645889551397,0.771457439442,0.636280477312,"(0.00044771654168906174, -4.8824916273645545e-05, 0.0, 0.0, 0.0, -4.7694948467855166e-05, -4.882491627364553e-05, 0.0006962484628145572, 0.0, 0.0, 0.0, -8.774744737215398e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.769494846785524e-05, -8.774744737215408e-06, 0.0, 0.0, 0.0, 4.569074624020376e-05)"
